like1,parKperc,parKb,parKe,parCqq,parBias,chain
23.06,0.244,0.696,0.0932,3.219,-14.19,0.0
21.67,0.6094,0.94,0.586,0.543,4.355,0.0
19.34,0.4736,0.2903,0.6147,5.06,8.83,0.0
28.36,0.84,0.3472,0.2435,5.516,3.18,0.0
8.15,0.5796,0.1748,0.6104,9.336,-8.44,0.0
14.94,0.648,0.3677,0.4075,8.14,-8.33,0.0
11.68,0.1002,0.3228,0.6323,6.742,10.16,0.0
14.93,0.6978,0.61,0.4531,1.727,-11.98,0.0
18.64,0.601,0.4197,0.513,3.057,1.762,0.0
29.66,0.7847,0.7065,0.4465,9.68,12.66,0.0
17.81,0.8525,0.3672,0.8657,0.8223,6.94,0.0
27.62,0.727,0.3533,0.08325,5.83,-10.195,0.0
26.62,0.262,0.2854,0.3052,9.266,13.31,0.0
18.08,0.341,0.6465,0.978,4.715,13.0,0.0
34.06,0.8794,0.753,0.08307,6.68,-5.348,0.0
21.92,0.4932,0.7197,0.1517,4.08,-13.78,0.0
10.1,0.9346,0.0156,0.3594,8.734,-5.75,0.0
33.34,0.7925,0.3228,0.0962,6.277,-0.353,0.0
33.28,0.9478,0.5513,0.2295,5.75,6.96,0.0
25.27,0.665,0.926,0.8076,6.473,14.9,0.0
26.95,0.798,0.2106,0.3108,2.08,6.742,0.0
19.8,0.2808,0.363,0.2343,9.13,-2.533,0.0
1.102,0.06683,0.9937,0.5576,0.785,-6.95,0.0
11.72,0.5874,0.499,0.5015,4.38,-13.18,0.0
42.38,0.0496,0.12305,0.1411,3.316,-6.58,0.0
7.51,0.2556,0.4094,0.3704,4.137,-14.86,0.0
21.19,0.3606,0.9717,0.4026,7.555,2.979,0.0
31.1,0.8047,0.2815,0.078,1.457,-5.26,0.0
21.11,0.8037,0.9604,0.867,8.95,6.344,0.0
15.65,0.7773,0.5483,0.39,0.1392,-12.984,0.0
22.05,0.1798,0.4106,0.2457,6.375,4.54,0.0
28.27,0.812,0.3164,0.4292,9.14,13.305,0.0
21.75,0.2323,0.6484,0.3123,0.2634,6.098,0.0
10.93,0.8516,0.07043,0.5513,0.1705,-5.004,0.0
8.7,0.581,0.2374,0.8794,6.156,-3.89,0.0
16.56,0.5103,0.1338,0.4592,7.367,1.24,0.0
11.336,0.146,0.1824,0.6045,8.625,6.715,0.0
19.4,0.599,0.9604,0.5923,4.285,0.252,0.0
8.33,0.828,0.10443,0.9233,2.596,-2.777,0.0
25.19,0.2578,0.5073,0.2764,7.395,8.54,0.0
18.89,0.3442,0.787,0.742,1.5625,10.15,0.0
8.4,0.5493,0.2424,0.942,5.727,-3.236,0.0
16.62,0.9336,0.3748,0.4092,4.61,-7.63,0.0
29.86,0.1176,0.8486,0.151,2.72,3.32,0.0
11.22,0.2979,0.2031,0.8394,0.9863,4.617,0.0
31.25,0.3413,0.2925,0.2123,5.242,11.59,0.0
25.16,0.8853,0.569,0.7744,9.22,14.73,0.0
32.5,0.416,0.554,0.2766,0.07007,14.79,0.0
59.34,0.009186,0.1963,0.2861,9.695,-12.78,0.0
10.13,0.4844,0.2008,0.5674,7.7,-5.676,0.0
11.92,0.13,0.2634,0.5786,8.586,7.742,0.0
25.98,0.435,0.908,0.518,2.371,13.38,0.0
19.53,0.2754,0.6143,0.5317,0.6733,9.375,0.0
20.1,0.6284,0.3723,0.3206,6.355,-3.715,0.0
0.732,0.01018,0.92,0.801,2.424,-13.81,0.0
21.77,0.423,0.938,0.8613,2.082,14.2,0.0
2.744,0.10803,0.07263,0.9854,3.746,0.6055,0.0
12.23,0.766,0.5786,0.803,7.22,-8.86,0.0
26.5,0.2776,0.1467,0.3289,1.49,14.63,0.0
14.375,0.693,0.664,0.584,3.76,-9.73,0.0
14.3,0.618,0.339,0.7344,6.88,0.8535,0.0
21.36,0.4463,0.9214,0.3809,4.895,-0.171,0.0
23.44,0.9585,0.8965,0.4272,6.117,-3.645,0.0
7.97,0.5713,0.3381,0.807,1.485,-9.49,0.0
6.22,0.2612,0.617,0.9316,3.732,-7.008,0.0
23.1,0.567,0.5693,0.2272,10.0,-5.86,0.0
24.94,0.456,0.5063,0.1204,7.3,-9.65,0.0
3.682,0.342,0.184,0.899,7.723,-7.87,0.0
59.88,0.10223,0.3887,0.05753,9.164,-5.215,0.0
2.307,0.1442,0.567,0.552,7.832,-14.266,0.0
18.92,0.3188,0.9478,0.853,1.717,12.39,0.0
7.117,0.0821,0.4177,0.4087,0.621,0.1399,0.0
37.75,0.3982,0.341,0.02467,9.19,-1.455,0.0
41.62,0.6323,0.8574,0.02362,5.473,1.252,0.0
12.3,0.8213,0.4355,0.853,1.238,-4.543,0.0
2.195,0.1271,0.02422,0.918,6.844,-0.3765,0.0
23.6,0.955,0.3718,0.8066,6.08,14.58,0.0
18.0,0.533,0.5024,0.984,7.984,10.19,0.0
15.8,0.805,0.4116,0.8154,8.84,2.326,0.0
16.02,0.0851,0.7534,0.3674,7.95,8.48,0.0
22.42,0.9404,0.3145,0.4475,1.223,4.535,0.0
26.14,0.232,0.1964,0.217,5.43,7.1,0.0
24.66,0.8125,0.4102,0.2039,9.74,-5.695,0.0
10.65,0.741,0.4065,0.623,5.84,-11.83,0.0
8.484,0.00205,0.66,0.794,1.366,14.74,0.0
11.25,0.3262,0.4014,0.9062,4.84,2.896,0.0
7.926,0.3037,0.9956,0.88,6.348,-9.21,0.0
16.36,0.6807,0.386,0.7266,4.62,2.861,0.0
10.03,0.07385,0.55,0.922,3.674,11.94,0.0
35.38,0.8535,0.8457,0.2269,7.707,8.11,0.0
1.164,0.09216,0.291,0.872,3.2,-3.041,0.0
13.62,0.725,0.02913,0.1997,9.83,-12.89,0.0
20.19,0.209,0.4512,0.3376,5.61,7.062,0.0
29.38,0.645,0.836,0.4043,9.36,11.09,0.0
31.9,0.596,0.58,0.3438,0.4644,14.375,0.0
33.12,0.807,0.7993,0.3027,3.955,10.24,0.0
1.877,0.619,0.0314,0.917,9.45,-9.17,0.0
33.25,0.534,0.8984,0.0738,9.79,-4.89,0.0
17.31,0.4778,0.7305,0.3047,5.484,-11.336,0.0
32.3,0.7407,0.928,0.10406,5.74,-6.36,0.0
11.51,0.2622,0.7925,0.542,1.241,-4.574,0.0
10.79,0.746,0.5137,0.693,0.8184,-13.086,0.0
8.47,0.739,0.3516,0.8193,8.59,-10.62,0.0
3.664,0.0693,0.06366,0.8496,1.257,3.094,0.0
15.88,0.9795,0.2656,0.987,9.8,6.324,0.0
12.45,0.2322,0.842,0.877,3.453,5.758,0.0
11.28,0.2284,0.714,0.393,1.988,-7.72,0.0
16.44,0.271,0.6787,0.9956,1.424,12.58,0.0
9.484,0.7544,0.325,0.9077,7.027,-5.93,0.0
7.434,0.6245,0.3325,0.8853,7.605,-9.84,0.0
27.62,0.7476,0.3765,0.2174,4.31,0.75,0.0
0.1865,0.0737,0.3481,0.4429,6.195,-10.26,0.0
21.05,0.4233,0.514,0.816,7.44,14.18,0.0
0.4785,0.043,0.6157,0.7056,4.195,-12.21,0.0
8.74,0.4028,0.1711,0.9688,4.305,0.68,0.0
22.52,0.4978,0.9443,0.7964,9.64,12.68,0.0
45.94,0.749,0.795,0.01134,4.965,5.715,0.0
32.8,0.6367,0.3982,0.0656,6.848,-4.41,0.0
12.63,0.7188,0.1577,0.4893,3.676,-5.477,0.0
13.234,0.8643,0.8027,0.8696,1.244,-11.836,0.0
37.06,0.1992,0.9287,0.01128,1.594,-4.06,0.0
23.33,0.4634,0.59,0.6,7.316,12.36,0.0
33.56,0.2832,0.2495,0.1715,5.043,11.92,0.0
24.19,0.5815,0.875,0.736,0.2407,13.09,0.0
27.81,0.539,0.6533,0.3535,3.805,8.77,0.0
3.803,0.2122,0.3606,0.794,3.166,-8.27,0.0
9.32,0.02522,0.391,0.6006,2.9,12.84,0.0
18.67,0.3252,0.6646,0.946,4.984,13.89,0.0
0.732,0.02972,0.4897,0.8975,3.695,-10.52,0.0
45.3,0.1202,0.3308,0.0712,3.992,13.055,0.0
17.11,0.8594,0.2651,0.972,6.953,8.61,0.0
17.02,0.2144,0.9814,0.8496,6.13,13.45,0.0
21.61,0.803,0.986,0.5513,6.78,-0.908,0.0
15.36,0.4119,0.03738,0.7637,0.2942,9.9,0.0
3.797,0.6553,0.01306,0.5977,8.9,-6.613,0.0
30.52,0.948,0.6323,0.1738,5.82,-2.379,0.0
18.8,0.5615,0.1877,0.982,9.57,13.97,0.0
5.99,0.1621,0.8843,0.4033,3.158,-13.086,0.0
2.559,0.01181,0.1581,0.5117,1.682,-4.285,0.0
12.984,0.1628,0.525,0.4387,0.873,2.701,0.0
18.95,0.803,0.2343,0.6865,7.156,7.613,0.0
0.802,0.506,0.01866,0.682,3.268,-11.7,0.0
33.06,0.8037,0.5586,0.2517,2.984,9.07,0.0
28.73,0.2976,0.4602,0.2045,6.54,7.363,0.0
14.32,0.55,0.1028,0.3704,1.042,-5.7,0.0
32.62,0.9,0.715,0.323,0.0746,10.5,0.0
10.83,0.304,0.1937,0.807,8.836,3.52,0.0
4.586,0.5894,0.04865,0.9624,2.79,-5.316,0.0
12.22,0.9272,0.622,0.882,1.299,-10.9,0.0
20.03,0.287,0.172,0.3992,5.6,7.777,0.0
24.52,0.8135,0.8657,0.665,8.23,9.11,0.0
42.75,0.474,0.7207,0.01949,3.03,3.879,0.0
13.96,0.785,0.76,0.6675,5.707,-11.94,0.0
5.938,0.3215,0.1577,0.6597,3.645,-6.598,0.0
19.75,0.88,0.5825,0.547,1.757,-0.232,0.0
8.57,0.1516,0.877,0.967,4.91,4.65,0.0
34.44,0.956,0.6167,0.1737,7.715,3.984,0.0
21.4,0.4478,0.856,0.8467,1.141,13.11,0.0
33.97,0.1262,0.767,0.11743,4.562,4.207,0.0
6.37,0.2216,0.8813,0.5522,1.484,-13.49,0.0
28.7,0.6978,0.596,0.2874,0.0796,5.05,0.0
32.97,0.989,0.4033,0.2168,9.734,6.965,0.0
19.53,0.3042,0.9087,0.605,2.336,9.33,0.0
10.305,0.2428,0.6396,0.5884,2.623,-3.514,0.0
20.33,0.8965,0.0842,0.559,8.82,8.36,0.0
37.6,0.9795,0.592,0.07184,0.633,0.1068,0.0
24.08,0.4373,0.5425,0.3337,1.964,4.523,0.0
-0.2852,0.1305,0.1571,0.8115,1.445,-11.47,0.0
14.04,0.9683,0.357,0.9624,7.773,1.364,0.0
18.8,0.3474,0.911,0.4663,2.584,2.105,0.0
26.06,0.4673,0.3818,0.3792,8.87,10.37,0.0
21.67,0.9663,0.2773,0.611,0.11383,8.92,0.0
9.39,0.04898,0.6675,0.541,0.2112,10.04,0.0
1.415,0.04324,0.4895,0.626,1.502,-0.2869,0.0
52.1,0.00573,0.5723,0.3345,6.64,-6.94,0.0
19.66,0.3562,0.9277,0.9297,1.563,13.555,0.0
14.43,0.828,0.742,0.7754,8.54,-8.43,0.0
27.66,0.8486,0.3484,0.4585,6.816,13.016,0.0
41.06,0.96,0.732,0.1737,5.69,13.18,0.0
10.43,0.11456,0.8174,0.4277,3.639,1.805,0.0
17.98,0.669,0.3147,0.5366,6.26,2.262,0.0
14.125,0.387,0.5747,0.917,1.306,4.81,0.0
18.8,0.821,0.10187,0.966,7.324,13.09,0.0
10.81,0.825,0.5864,0.8267,0.536,-13.29,0.0
33.47,0.8564,0.6987,0.1262,8.06,-1.3955,0.0
20.48,0.366,0.5127,0.64,0.808,11.36,0.0
12.766,0.1493,0.2783,0.612,6.28,8.44,0.0
21.56,0.761,0.789,0.648,6.406,4.64,0.0
19.55,0.4338,0.4902,0.195,0.855,-10.914,0.0
17.75,0.8145,0.9604,0.9062,3.072,-0.3838,0.0
38.3,0.6074,0.1702,0.1521,5.105,14.25,0.0
12.695,0.4832,0.2478,0.3462,1.09,-10.61,0.0
9.62,0.248,0.0919,0.8887,1.402,4.918,0.0
17.27,0.3325,0.4011,0.956,6.59,12.94,0.0
11.32,0.02394,0.767,0.4487,9.24,10.67,0.0
18.02,0.913,0.5264,0.4849,5.62,-5.08,0.0
5.684,0.1959,0.4072,0.5767,6.426,-7.95,0.0
14.68,0.06647,0.6553,0.3499,6.08,2.557,0.0
14.0,0.862,0.526,0.4822,5.105,-13.19,0.0
23.62,0.1908,0.516,0.2471,7.062,6.37,0.0
30.38,0.872,0.735,0.315,3.137,6.414,0.0
16.36,0.953,0.8755,0.896,5.297,-5.773,0.0
19.5,0.2722,0.809,0.439,2.273,5.664,0.0
20.12,0.6865,0.4248,0.409,1.139,-0.681,0.0
2.316,0.1844,0.2404,0.775,0.1758,-7.844,0.0
14.79,0.3477,0.574,0.5405,9.95,-0.5854,0.0
32.62,0.2603,0.8315,0.2031,4.53,12.79,0.0
41.25,0.899,0.866,0.1338,9.414,9.555,0.0
