Basin,Kperc,Kb,Ke,Cqq,S_init,G_init,Smax,KGE
11532500,0.01182,0.6357,0.778,0.2264,5.0,3.0,5.0,0.9047084557768618
12040500,0.014885,0.958,0.955,0.3894,5.0,3.0,5.0,0.8867180258730465
12010000,0.0524,0.574,0.737,0.833,5.0,3.0,5.0,0.8773678791911899
12035000,0.02777,0.9653,0.05792,0.3809,5.0,3.0,5.0,0.8646873234696313
12013500,0.03473,0.7656,0.886,0.7056,5.0,3.0,5.0,0.8637777338668449
14222500,0.01886,0.999,0.2964,0.596,5.0,3.0,5.0,0.8610823897068778
12167000,0.01657,0.4695,0.802,0.693,5.0,3.0,5.0,0.8592081463054403
12020000,0.02052,0.9023,0.2925,0.6143,5.0,3.0,5.0,0.8540139720467108
14400000,0.01704,0.654,0.4211,0.765,5.0,3.0,5.0,0.8515359666737246
14305500,0.015594,0.912,0.822,0.4075,5.0,3.0,5.0,0.8433594384117099
12041200,0.871,0.813,0.244,0.288,5.0,3.0,5.0,0.8417124839155963
14306500,0.0182,0.746,0.8823,0.4692,5.0,3.0,5.0,0.8222847471558259
14309500,0.02315,0.887,0.79,0.8223,5.0,3.0,5.0,0.8174677542065119
14216500,0.01733,0.5776,0.2795,0.73,5.0,3.0,5.0,0.8168129024890998
11482500,0.01874,0.7925,0.1565,0.729,5.0,3.0,5.0,0.8152442266244977
11478500,0.04074,0.7046,0.5977,0.3828,5.0,3.0,5.0,0.8131327902910348
14185900,0.0306,0.05136,0.7983,0.9976,5.0,3.0,5.0,0.811733161950694
14301000,0.05417,0.9146,0.4534,0.2174,5.0,3.0,5.0,0.810585262769925
04024430,0.11487,0.7744,0.7246,0.1257,5.0,3.0,5.0,0.8104599196040347
11480390,0.971,0.871,0.4146,0.2825,5.0,3.0,5.0,0.8004847983661227
14185000,0.05746,0.982,0.804,0.3623,5.0,3.0,5.0,0.787903284457469
05362000,0.248,0.592,0.6333,0.1078,5.0,3.0,5.0,0.7863670282922353
04040500,0.509,0.608,0.085,0.1394,5.0,3.0,5.0,0.7626909223566513
05131500,0.06635,0.557,0.05713,0.1027,5.0,3.0,5.0,0.7603841008007374
04027000,0.1421,0.647,0.1925,0.153,5.0,3.0,5.0,0.7585820053399054
05408000,0.168,0.784,0.3677,0.2139,5.0,3.0,5.0,0.7574195240204482
11468500,0.01115,0.63,0.843,0.708,5.0,3.0,5.0,0.7550835796484403
11522500,0.04047,0.6816,0.263,0.1971,5.0,3.0,5.0,0.7466712356974738
14154500,0.02219,0.491,0.5356,0.4167,5.0,3.0,5.0,0.7449065910855424
03439000,0.0437,0.955,0.4583,0.723,5.0,3.0,5.0,0.7393409662081389
05393500,0.5566,0.714,0.7603,0.2311,5.0,3.0,5.0,0.7373810357309091
14137000,0.01435,0.5684,0.5107,0.4634,5.0,3.0,5.0,0.7334109729905762
11383500,0.9873,0.7524,0.9585,0.1735,5.0,3.0,5.0,0.7296781938665494
11473900,0.02518,0.822,0.421,0.2222,5.0,3.0,5.0,0.7288283507757942
04063700,0.6553,0.615,0.5757,0.3066,5.0,3.0,5.0,0.725545487957125
05087500,0.1807,0.8125,0.2644,0.2644,5.0,3.0,5.0,0.7223692390663621
11528700,0.0246,0.7734,0.9688,0.307,5.0,3.0,5.0,0.7146074426347374
05414000,0.0925,0.779,0.8657,0.314,5.0,3.0,5.0,0.7105564028176304
14316700,0.031,0.7334,0.54,0.3096,5.0,3.0,5.0,0.7076577973618507
06409000,0.3347,0.7,0.7544,0.11536,5.0,3.0,5.0,0.7072438813000148
04074950,0.1528,0.5977,0.1428,0.1312,5.0,3.0,5.0,0.7045827978536257
03463300,0.511,0.0182,0.9775,0.996,5.0,3.0,5.0,0.704412059827765
01435000,0.711,0.8486,0.4675,0.1134,5.0,3.0,5.0,0.7014819034465586
07301410,0.1266,0.7393,0.5957,0.1737,5.0,3.0,5.0,0.7001729332247401
05413500,0.01204,0.835,0.158,0.1986,5.0,3.0,5.0,0.6983875457672323
03161000,0.04727,0.9136,0.655,0.378,5.0,3.0,5.0,0.6920879613411274
14166500,0.01639,0.8413,0.7974,0.6226,5.0,3.0,5.0,0.6900898747440818
01047000,0.2847,0.816,0.8096,0.1335,5.0,3.0,5.0,0.6841616375266896
01413500,0.3542,0.831,0.226,0.1919,5.0,3.0,5.0,0.6836599509589005
03479000,0.01604,0.7783,0.4954,0.4573,5.0,3.0,5.0,0.6833462593610927
04045500,0.1982,0.7056,0.82,0.11145,5.0,3.0,5.0,0.6799534738521477
05399500,0.346,0.6533,0.4941,0.1416,5.0,3.0,5.0,0.6784477695525866
