Basin,Kperc,Kb,Ke,Cqq,S_init,G_init,Smax,KGE
11532500,0.084,0.987,0.651,0.168,0.35,0.15,0.05,0.913
12040500,0.037,0.996,0.665,0.368,0.35,0.15,0.05,0.9
12010000,0.487,0.998,0.712,0.692,0.35,0.15,0.05,0.879
12035000,0.066,0.986,0.505,0.346,0.35,0.15,0.05,0.876
12013500,0.017,0.998,0.127,0.697,0.35,0.15,0.05,0.87
14222500,0.194,1.0,0.628,0.5,0.35,0.15,0.05,0.862
12167000,0.446,1.0,0.518,0.455,0.35,0.15,0.05,0.859
14305500,0.106,1.0,0.72,0.364,0.35,0.15,0.05,0.853
12020000,0.498,0.959,0.819,0.261,0.35,0.15,0.05,0.853
14400000,0.395,0.995,0.982,0.613,0.35,0.15,0.05,0.852
12041200,0.906,0.837,0.703,0.113,0.35,0.15,0.05,0.844
14301000,0.119,0.997,0.626,0.173,0.35,0.15,0.05,0.825
14306500,0.155,0.994,0.93,0.373,0.35,0.15,0.05,0.821
14309500,0.724,0.969,0.916,0.342,0.35,0.15,0.05,0.819
11482500,0.615,0.998,0.81,0.299,0.35,0.15,0.05,0.814
14216500,0.657,0.954,0.923,0.288,0.35,0.15,0.05,0.813
14185900,0.947,0.99,0.938,0.722,0.35,0.15,0.05,0.812
11478500,0.307,0.935,0.846,0.13,0.35,0.15,0.05,0.805
05362000,0.24,0.594,0.779,0.103,0.35,0.15,0.05,0.804
11480390,0.918,0.881,0.878,0.163,0.35,0.15,0.05,0.803
04024430,0.099,0.622,0.662,0.136,0.35,0.15,0.05,0.8
14185000,0.19,0.997,0.903,0.238,0.35,0.15,0.05,0.798
11522500,0.159,0.741,0.923,0.1,0.35,0.15,0.05,0.778
04040500,0.563,0.585,0.432,0.102,0.35,0.15,0.05,0.768
04027000,0.197,0.643,0.996,0.106,0.35,0.15,0.05,0.763
05131500,0.062,0.526,0.26,0.109,0.35,0.15,0.05,0.76
11468500,0.666,0.912,0.943,0.132,0.35,0.15,0.05,0.756
05393500,0.639,0.695,0.236,0.11,0.35,0.15,0.05,0.747
03439000,0.351,0.994,0.775,0.581,0.35,0.15,0.05,0.747
14154500,0.251,0.998,0.996,0.225,0.35,0.15,0.05,0.745
05087500,0.358,0.726,0.591,0.109,0.35,0.15,0.05,0.744
05408000,0.269,0.75,0.703,0.103,0.35,0.15,0.05,0.744
04063700,0.788,0.639,0.677,0.106,0.35,0.15,0.05,0.743
11528700,0.239,0.882,0.7,0.102,0.35,0.15,0.05,0.739
14137000,0.311,0.998,0.962,0.244,0.35,0.15,0.05,0.734
11473900,0.144,0.942,0.564,0.109,0.35,0.15,0.05,0.728
14316700,0.206,0.975,0.8,0.179,0.35,0.15,0.05,0.726
