like1,parKperc,parKb,parKe,parCqq,parBias,chain
0.02124,0.8335,0.7085,0.548,0.965,-0.2316,0.0
-0.08954,0.668,0.3542,0.2278,0.755,0.3936,0.0
-0.04672,0.7695,0.597,0.875,0.4084,0.05237,0.0
-0.0702,0.828,0.2272,0.8125,0.913,-0.2146,0.0
-0.09467,0.3354,0.9087,0.2108,0.6846,0.0642,0.0
-0.0387,0.6245,0.2034,0.7876,0.4668,-0.0614,0.0
-0.03683,0.4458,0.2351,0.6836,0.574,0.324,0.0
0.05307,0.012405,0.689,0.9136,0.5435,0.09283,0.0
-0.07904,0.4023,0.4265,0.2678,0.5103,0.03528,0.0
-0.071,0.4893,0.816,0.288,0.156,-0.0638,0.0
0.1823,0.8687,0.05884,0.8555,0.697,-0.3838,0.0
-0.02875,0.395,0.2369,0.9385,0.892,0.443,0.0
-0.0838,0.574,0.5127,0.5425,0.2363,-0.1575,0.0
0.03998,0.8696,0.7124,0.785,0.6733,-0.4348,0.0
-0.0578,0.2756,0.459,0.6387,0.8403,-0.489,0.0
-0.05807,0.263,0.4985,0.7563,0.763,-0.0943,0.0
-0.06033,0.6577,0.2332,0.5215,0.701,-0.2705,0.0
-0.08606,0.4792,0.486,0.602,0.2109,-0.2372,0.0
-0.04388,0.726,0.6387,0.859,0.579,0.3025,0.0
0.2,0.02188,0.2747,0.968,0.828,-0.2103,0.0
0.10095,0.786,0.897,0.2966,0.2262,0.0329,0.0
0.05792,0.6416,0.1195,0.8076,0.8286,0.1796,0.0
-0.04956,0.263,0.4407,0.2793,0.4634,0.3022,0.0
0.1028,0.491,0.1053,0.92,0.874,-0.4773,0.0
0.05023,0.3774,0.1545,0.2996,0.365,-0.3125,0.0
-0.0613,0.4487,0.291,0.345,0.2668,-0.2786,0.0
-0.0799,0.2358,0.9688,0.3403,0.698,0.0497,0.0
-0.05258,0.2527,0.4956,0.3171,0.4878,0.3027,0.0
0.06003,0.1194,0.629,0.3364,0.1487,0.426,0.0
0.0777,0.9736,0.0965,0.647,0.4534,-0.2502,0.0
-0.05566,0.2646,0.4783,0.3044,0.808,0.4429,0.0
-0.0644,0.4612,0.2944,0.6294,0.6514,-0.3284,0.0
-0.0694,0.5464,0.708,0.386,0.1542,0.1898,0.0
-0.0765,0.459,0.86,0.3718,0.4807,0.4558,0.0
-0.0528,0.662,0.657,0.681,0.864,0.002687,0.0
-0.09,0.92,0.3823,0.4783,0.10583,0.1578,0.0
-0.03873,0.6196,0.77,0.787,0.638,-0.01784,0.0
-0.03116,0.1693,0.9194,0.765,0.5835,-0.0935,0.0
-0.04938,0.2457,0.495,0.4133,0.415,0.41,0.0
-0.04544,0.5786,0.7983,0.2776,0.7065,-0.2471,0.0
-0.0525,0.621,0.699,0.9507,0.3909,-0.485,0.0
-0.07434,0.7197,0.509,0.324,0.3088,-0.4236,0.0
0.09406,0.966,0.726,0.66,0.9146,-0.0353,0.0
-0.02036,0.04596,0.388,0.825,0.3928,-0.1884,0.0
0.1406,0.913,0.0718,0.586,0.941,-0.0679,0.0
-0.08875,0.2893,0.781,0.673,0.1758,0.3762,0.0
0.04456,0.11334,0.986,0.3767,0.66,0.10834,0.0
0.1276,0.854,0.864,0.628,0.4888,0.2384,0.0
-0.0625,0.959,0.205,0.2266,0.922,-0.001078,0.0
-0.077,0.4854,0.749,0.568,0.3533,-0.4453,0.0
-0.01793,0.8496,0.6245,0.577,0.3005,0.4666,0.0
-0.0816,0.4238,0.924,0.9614,0.47,0.2656,0.0
-0.02003,0.2003,0.496,0.227,0.3962,-0.2683,0.0
0.1536,0.07855,0.511,0.775,0.913,0.1993,0.0
0.02303,0.963,0.1262,0.902,0.669,0.348,0.0
0.04596,0.5933,0.1302,0.742,0.728,-0.2351,0.0
0.02356,0.126,0.9727,0.327,0.8237,0.00901,0.0
-0.04166,0.5415,0.897,0.5293,0.818,-0.1835,0.0
0.3496,0.4265,0.02773,0.9473,0.2883,-0.3674,0.0
0.09595,0.3118,0.1366,0.796,0.2297,-0.2676,0.0
0.1201,0.08636,0.732,0.573,0.3965,0.04053,0.0
-0.0683,0.52,0.2856,0.6226,0.5693,-0.398,0.0
0.2339,0.87,0.04486,0.2311,0.5254,-0.3398,0.0
-0.01563,0.962,0.566,0.9497,0.1043,-0.2922,0.0
-0.01543,0.75,0.698,0.3052,0.801,0.05215,0.0
-0.0867,0.4543,0.5986,0.3665,0.2947,0.0747,0.0
0.2347,0.9062,0.936,0.8584,0.2954,-0.021,0.0
-0.02623,0.944,0.1643,0.229,0.6904,-0.3274,0.0
-0.02742,0.1938,0.595,0.3152,0.797,-0.3574,0.0
0.01016,0.1571,0.5884,0.6245,0.4802,-0.2261,0.0
0.171,0.899,0.872,0.6514,0.4019,-0.0909,0.0
0.01264,0.1671,0.4856,0.6533,0.3633,0.3477,0.0
0.3398,0.4739,0.02089,0.597,0.1824,0.1774,0.0
-0.09064,0.3616,0.685,0.7056,0.1065,-0.334,0.0
-0.086,0.2932,0.735,0.2352,0.2769,-0.376,0.0
-0.0629,0.3792,0.3367,0.369,0.717,-0.4543,0.0
-0.0724,0.839,0.2303,0.7627,0.54,0.121,0.0
-0.07623,0.709,0.26,0.5786,0.7944,0.1744,0.0
-0.05762,0.2253,0.6772,0.4246,0.3513,0.0299,0.0
-0.0791,0.7993,0.2534,0.2153,0.7017,-0.2491,0.0
-0.0744,0.7017,0.522,0.2795,0.4678,0.0593,0.0
0.011604,0.1847,0.3953,0.9346,0.99,-0.000622,0.0
0.05118,0.2466,0.2064,0.4753,0.8706,-0.1594,0.0
-0.0801,0.266,0.736,0.532,0.2407,0.2078,0.0
-0.0603,0.767,0.5513,0.636,0.663,-0.03305,0.0
-0.09216,0.3665,0.933,0.881,0.4263,-0.2559,0.0
-0.02824,0.1715,0.8315,0.888,0.1641,0.4243,0.0
-0.04672,0.2189,0.5986,0.7725,0.383,0.2153,0.0
-0.07745,0.937,0.2322,0.546,0.896,-0.2234,0.0
-0.0672,0.4932,0.8496,0.951,0.2174,-0.093,0.0
0.2067,0.03836,0.7266,0.2434,0.984,0.057,0.0
0.06915,0.2441,0.1886,0.2637,0.236,0.1597,0.0
-0.08624,0.4443,0.7085,0.2118,0.548,0.4146,0.0
0.2598,0.0765,0.01587,0.7935,0.665,-0.2888,0.0
-0.08795,0.406,0.832,0.439,0.1545,-0.2417,0.0
0.09595,0.06174,0.6104,0.9424,0.1443,-0.1948,0.0
-0.0681,0.4624,0.9272,0.933,0.927,-0.3855,0.0
0.2229,0.01755,0.4111,0.741,0.8467,0.396,0.0
0.1749,0.379,0.0822,0.5776,0.782,0.4636,0.0
-0.02048,0.81,0.1659,0.6235,0.757,0.3057,0.0
0.1509,0.09216,0.4084,0.477,0.9736,-0.4138,0.0
0.1669,0.853,0.9194,0.7354,0.5654,0.4587,0.0
-0.09015,0.389,0.6626,0.819,0.2913,-0.2573,0.0
0.1162,0.08777,0.726,0.795,0.3354,-0.1932,0.0
-0.0949,0.3364,0.9155,0.567,0.254,-0.226,0.0
-0.04883,0.6465,0.694,0.966,0.6826,0.0884,0.0
-0.0919,0.275,0.9946,0.241,0.921,0.1971,0.0
-0.09534,0.886,0.3193,0.604,0.5835,0.2686,0.0
-0.0949,0.909,0.3113,0.3523,0.9805,0.2102,0.0
-0.09235,0.949,0.366,0.749,0.907,0.2996,0.0
