like1,parKperc,parKb,parKe,parCqq,parBias,parS_init,parG_init,chain
3.719,0.708,0.3508,0.984,0.9995,-0.58,1150.0,1448.0,0.0
1.303,0.1017,0.632,0.8223,0.999,-0.154,115.1,1040.0,0.0
10000.0,0.642,0.9497,0.2448,1.0,-0.791,361.8,734.0,0.0
4.418,0.2734,0.3848,0.7505,0.999,-0.856,323.2,817.5,0.0
10000.0,0.718,0.6787,0.1993,1.0,0.593,17.23,1419.0,0.0
13.15,0.836,0.6206,0.918,0.9995,-0.01706,1395.0,345.5,0.0
59.12,0.465,0.292,0.3784,0.999,-0.1704,23.06,621.0,0.0
10000.0,0.826,0.967,0.2242,0.999,0.909,7.418,342.8,0.0
7.51,0.1809,0.42,0.625,1.0,-0.0329,1111.0,23.23,0.0
5.594,0.3792,0.8716,0.929,0.9995,-0.9116,1321.0,1001.5,0.0
10000.0,0.2903,0.10406,0.2366,0.9995,0.536,1814.0,1062.0,0.0
75.9,0.801,0.8853,0.4536,0.9995,-0.6226,1439.0,1683.0,0.0
21.78,0.541,0.5957,0.6436,0.999,-0.3867,1168.0,1201.0,0.0
32.62,0.7607,0.496,0.5854,0.999,-0.2094,276.2,272.2,0.0
20.17,0.899,0.8,0.9224,0.999,0.856,1298.0,1609.0,0.0
24.25,0.7637,0.421,0.7266,0.999,0.923,1838.0,117.6,0.0
16.98,0.8633,0.5767,0.8843,0.9995,0.526,414.8,890.5,0.0
10000.0,0.6836,0.344,0.1989,0.9995,0.473,285.5,293.8,0.0
62.28,0.883,0.5986,0.4932,0.999,0.99,776.5,1009.5,0.0
10000.0,0.9355,0.8394,0.3284,0.999,-0.674,1029.0,1426.0,0.0
25.34,0.338,0.10626,0.4622,0.9995,-0.2966,1220.0,400.2,0.0
10000.0,0.351,0.8345,0.0713,0.9995,0.2328,1564.0,1475.0,0.0
79.6,0.2053,0.967,0.3171,0.9995,0.2407,771.5,1125.0,0.0
40.34,0.879,0.5815,0.602,0.999,0.1159,1211.0,1532.0,0.0
27.8,0.3457,0.2715,0.5083,0.999,0.865,956.5,589.5,0.0
10000.0,0.604,0.7676,0.3333,0.9995,0.931,1513.0,1980.0,0.0
38.5,0.4473,0.7983,0.5005,1.0,-0.1772,1746.0,557.5,0.0
10000.0,0.5903,0.4153,0.05527,0.999,-0.553,1375.0,665.0,0.0
32.62,0.7812,0.9775,0.7676,0.999,0.2507,1473.0,31.62,0.0
10000.0,0.374,0.4578,0.02277,1.0,0.5986,259.0,1216.0,0.0
10000.0,0.574,0.987,0.301,1.0,0.3096,652.0,700.5,0.0
56.56,0.9326,0.3525,0.4502,0.9995,-0.2612,1161.0,1490.0,0.0
38.6,0.3875,0.805,0.4814,1.0,-0.08936,68.44,1463.0,0.0
10000.0,0.2683,0.4268,0.1564,1.0,0.4434,396.2,1428.0,0.0
10000.0,0.66,0.1771,0.0333,1.0,0.947,382.8,369.2,0.0
10000.0,0.596,0.9824,0.1335,0.999,-0.799,1439.0,1028.0,0.0
13.02,0.2656,0.57,0.5874,1.0,-0.6846,1589.0,316.5,0.0
5.676,0.08936,0.8535,0.63,0.9995,0.2036,274.0,1994.0,0.0
10000.0,0.7256,0.614,0.04156,0.9995,0.2382,1116.0,1064.0,0.0
64.3,0.3328,0.4297,0.3699,0.999,0.722,1635.0,731.5,0.0
10000.0,0.1935,0.3843,0.1558,0.999,-0.744,1652.0,1939.0,0.0
4.465,0.3037,0.4438,0.9272,0.999,0.3604,1005.5,1358.0,0.0
34.3,0.447,0.2844,0.455,0.9995,-0.357,335.2,654.5,0.0
0.6304,0.01944,0.4546,0.759,1.0,-0.475,911.0,1888.0,0.0
84.7,0.7305,0.7207,0.3877,0.999,-0.1534,1664.0,1780.0,0.0
43.9,0.9746,0.3516,0.5654,0.999,0.98,68.06,149.8,0.0
10.414,0.4268,0.3162,0.6953,1.0,-0.2225,920.0,1714.0,0.0
66.1,0.5522,0.8716,0.4307,0.999,0.1771,973.0,526.0,0.0
